################################################################
# abuse.ch Feodo Tracker Botnet C2 IP Blocklist (CSV)          #
# Last updated: 2022-04-13 08:23:37 UTC                        #
#                                                              #
# Terms Of Use: https://feodotracker.abuse.ch/blocklist/       #
# For questions please contact feodotracker [at] abuse.ch      #
################################################################
#
"first_seen_utc","dst_ip","dst_port","c2_status","last_online","malware"
"2021-01-17 07:44:46","51.178.161.32","4643","online","2022-04-14","Dridex"
"2021-01-17 07:47:59","46.101.90.205","4643","online","2022-04-14","Dridex"
"2021-01-17 07:50:16","54.38.143.246","691","offline","2022-03-23","Dridex"
"2021-01-18 09:17:45","103.150.68.124","449","offline","2022-03-14","TrickBot"
"2021-01-26 03:22:41","142.44.247.57","4043","online","2022-04-14","Dridex"
"2021-02-08 12:27:30","178.128.83.165","443","online","2022-04-14","Dridex"
"2021-02-22 16:57:59","37.187.115.122","6601","online","2022-04-14","Dridex"
"2021-02-23 11:15:18","5.182.210.132","443","online","2022-04-14","TrickBot"
"2021-03-01 21:11:38","121.199.35.69","443","online","2022-04-14","Dridex"
"2021-03-22 12:53:59","37.247.35.130","6601","online","2022-04-14","Dridex"
"2021-04-04 20:56:22","216.10.251.121","6601","offline","2022-03-17","Dridex"
"2021-04-05 17:24:06","51.91.76.89","2303","offline","2022-04-06","Dridex"
"2021-04-08 23:50:56","131.100.24.199","2303","offline","2022-04-06","Dridex"
"2021-04-13 07:32:30","87.97.178.92","449","offline","2022-03-14","TrickBot"
"2021-04-13 07:32:31","91.243.125.5","443","offline","2022-03-14","TrickBot"
"2021-04-13 07:32:31","185.94.172.15","449","offline","2022-03-14","TrickBot"
"2021-04-15 18:26:39","131.100.24.192","443","online","2022-04-14","Dridex"
"2021-04-22 22:04:30","178.134.47.166","443","offline","2022-04-04","TrickBot"
"2021-04-22 22:04:30","154.79.251.172","443","online","2022-04-14","TrickBot"
"2021-04-29 19:37:00","153.126.165.175","6601","online","2022-04-14","Dridex"
"2021-05-16 19:49:32","1.234.21.73","6601","online","2022-04-14","Dridex"
"2021-05-16 19:49:33","178.128.23.9","4125","online","2022-04-14","Dridex"
"2021-05-19 20:14:39","185.242.89.198","443","offline","2022-03-14","TrickBot"
"2021-05-19 20:14:43","185.242.88.63","443","offline","2022-03-14","TrickBot"
"2021-05-21 12:52:24","144.48.139.206","443","offline","2022-04-04","TrickBot"
"2021-05-24 14:24:06","186.97.172.178","443","offline","2022-04-04","TrickBot"
"2021-05-24 14:24:07","177.67.137.111","443","offline","2022-04-04","TrickBot"
"2021-05-24 14:24:12","187.19.167.233","443","offline","2022-04-04","TrickBot"
"2021-06-02 01:31:21","162.214.188.105","8172","online","2022-04-14","Dridex"
"2021-06-09 17:16:27","45.79.91.89","9987","online","2022-04-14","Dridex"
"2021-06-21 06:46:36","178.128.197.110","4664","online","2022-04-14","Dridex"
"2021-06-23 20:10:38","178.79.150.86","4664","online","2022-04-14","Dridex"
"2021-06-28 15:31:40","186.225.119.170","443","online","2022-04-14","TrickBot"
"2021-06-28 15:31:40","200.236.218.62","443","online","2022-04-14","TrickBot"
"2021-06-28 15:31:41","49.248.217.170","443","offline","2022-04-04","TrickBot"
"2021-06-30 20:00:40","24.162.214.166","443","online","2022-04-14","TrickBot"
"2021-07-06 16:18:10","178.79.147.66","443","offline","2022-03-21","Dridex"
"2021-07-10 03:28:28","37.59.103.148","4664","online","2022-04-14","Dridex"
"2021-07-13 08:31:22","107.170.64.97","9043","online","2022-04-14","Dridex"
"2021-07-14 15:30:51","66.175.217.172","13786","online","2022-04-14","Dridex"
"2021-07-21 15:16:51","178.238.236.59","443","online","2022-04-14","Dridex"
"2021-07-28 16:01:42","104.248.178.90","4664","online","2022-04-14","Dridex"
"2021-07-30 19:14:45","181.129.167.82","443","online","2022-04-14","TrickBot"
"2021-08-01 00:47:34","103.109.247.13","10443","online","2022-04-14","Dridex"
"2021-08-01 00:47:35","103.253.107.156","7443","online","2022-04-14","Dridex"
"2021-08-04 17:31:59","113.160.37.196","443","offline","2022-04-04","TrickBot"
"2021-08-05 13:50:54","103.253.107.155","7443","online","2022-04-14","Dridex"
"2021-08-09 12:23:54","190.93.208.53","443","offline","2022-04-04","TrickBot"
"2021-08-12 19:03:34","103.253.107.198","7443","online","2022-04-14","Dridex"
"2021-08-14 18:40:26","204.174.223.210","9043","online","2022-04-14","Dridex"
"2021-08-16 15:18:09","103.109.247.9","10443","offline","2022-04-07","Dridex"
"2021-08-20 04:28:37","50.116.62.25","8194","online","2022-04-14","Dridex"
"2021-08-25 14:51:02","103.109.247.8","10443","online","2022-04-14","Dridex"
"2021-08-27 04:48:12","192.99.150.39","7443","online","2022-04-14","Dridex"
"2021-08-28 21:57:30","213.136.86.165","7443","online","2022-04-14","Dridex"
"2021-08-30 22:30:31","97.107.134.115","10172","online","2022-04-14","Dridex"
"2021-09-04 21:09:55","207.154.208.93","6225","online","2022-04-14","Dridex"
"2021-09-10 07:26:11","128.199.206.91","6225","offline","2022-04-05","Dridex"
"2021-09-15 15:39:08","122.117.90.133","443","offline","2022-04-04","TrickBot"
"2021-09-15 15:39:11","103.94.0.178","443","offline","2022-04-04","TrickBot"
"2021-09-15 15:39:13","36.95.110.19","443","online","2022-04-14","TrickBot"
"2021-09-15 15:39:14","36.91.36.29","443","offline","2022-04-04","TrickBot"
"2021-09-15 15:39:14","36.37.99.242","443","offline","2022-04-04","TrickBot"
"2021-09-16 00:53:58","128.199.232.159","6225","online","2022-04-14","Dridex"
"2021-09-17 11:44:00","159.65.3.147","6225","online","2022-04-14","Dridex"
"2021-09-27 14:55:19","138.197.109.175","443","online","2022-04-14","Dridex"
"2021-09-29 08:42:47","89.101.97.139","443","offline","2022-03-24","QakBot"
"2021-09-29 08:42:51","120.150.218.241","995","online","2022-04-14","QakBot"
"2021-09-29 08:42:51","41.228.22.180","443","online","2022-04-14","QakBot"
"2021-09-29 12:05:05","24.139.72.117","443","offline","2022-04-13","QakBot"
"2021-09-29 12:15:05","24.229.150.54","995","offline","2022-03-31","QakBot"
"2021-09-29 13:10:07","73.151.236.31","443","offline","2022-04-14","QakBot"
"2021-09-29 13:35:05","68.204.7.158","443","offline","2022-04-09","QakBot"
"2021-09-29 13:50:05","75.188.35.168","443","offline","2022-04-06","QakBot"
"2021-09-29 14:05:04","173.21.10.71","2222","offline","2022-04-14","QakBot"
"2021-09-29 14:35:05","45.46.53.140","2222","offline","2022-04-14","QakBot"
"2021-09-29 14:55:09","217.17.56.163","2078","offline","2022-03-24","QakBot"
"2021-09-29 14:55:09","217.17.56.163","465","offline","2022-04-12","QakBot"
"2021-09-29 15:15:06","71.74.12.34","443","offline","2022-04-13","QakBot"
"2021-09-29 16:45:05","76.25.142.196","443","offline","2022-04-14","QakBot"
"2021-09-29 20:00:05","67.165.206.193","993","offline","2022-03-30","QakBot"
"2021-09-30 16:55:04","109.12.111.14","443","offline","2022-04-13","QakBot"
"2021-10-01 15:15:11","50.29.166.232","995","online","2022-04-14","QakBot"
"2021-10-01 19:05:08","24.152.219.253","995","offline","2022-04-05","QakBot"
"2021-10-05 16:17:00","136.228.128.21","443","offline","2022-04-04","TrickBot"
"2021-10-06 05:32:46","89.137.52.44","443","offline","2022-04-13","QakBot"
"2021-10-08 14:48:31","63.143.92.99","995","offline","2022-04-13","QakBot"
"2021-10-11 07:48:40","212.112.86.37","9676","online","2022-04-14","Dridex"
"2021-10-13 13:35:12","69.64.50.41","6602","online","2022-04-14","Dridex"
"2021-10-13 17:20:48","45.90.108.123","13786","online","2022-04-14","Dridex"
"2021-10-13 17:20:48","198.199.98.78","9217","offline","2022-04-06","Dridex"
"2021-10-13 17:30:14","96.37.113.36","993","offline","2022-04-12","QakBot"
"2021-10-16 01:19:35","211.172.241.52","9676","online","2022-04-14","Dridex"
"2021-10-18 14:55:58","38.70.253.226","2222","online","2022-04-14","QakBot"
